_id,AnimalID,AnimalName,AnimalType,PrimaryColor,SecondaryColor,PrimaryBreed,Sex,DOB,Age,IntakeDate,IntakeCondition,IntakeType,IntakeSubtype,IntakeReason,OutcomeDate,OutcomeType,OutcomeSubtype,OutcomeCondition,Crossing,Jurisdiction,LastUpdate
538,A1389385,,KITTEN,TABBY-BRN,,DOMESTIC SH,FEMALE,2025-06-29,0,2025-07-20,NURSING,STRAY,OTC,,2026-03-09,EUTH,,MED SEV,SERANO AVE/JERILYN DR,SAN JOSE,2026-03-12
539,A1389386,,KITTEN,GRAY,WHITE,DOMESTIC SH,FEMALE,2025-06-29,0,2025-07-20,NURSING,STRAY,OTC,,2025-08-01,EUTH,,MED SEV,SERANO AVE/JERILYN DR,SAN JOSE,2025-08-05
540,A1389387,,KITTEN,GRAY,,DOMESTIC SH,MALE,2025-06-29,0,2025-07-20,NURSING,STRAY,OTC,,2026-03-09,EUTH,,MED SEV,SERANO AVE/JERILYN DR,SAN JOSE,2026-03-12
541,A1389391,LEWIS,DOG,WHITE,,BORDER COLLIE,NEUTERED,2022-07-20,3,2025-07-20,HEALTHY,CONFISCATE,POLICE,,2025-07-23,RTO,,HEALTHY,,SAN JOSE,2025-07-24
542,A1389391,LEWIS,DOG,WHITE,,BORDER COLLIE,NEUTERED,2022-07-20,3,2025-08-05,MED R,STRAY,MEDVET,,2025-11-09,ADOPTION,,MED R,200 BLK ALYSHEBA,SAN JOSE,2025-11-09
543,A1389392,RUSSET,DOG,BROWN,,CHIHUAHUA SH,NEUTERED,2023-07-20,2,2025-07-20,HEALTHY,STRAY,OTC,,2025-07-30,ADOPTION,,HEALTHY,E ST JAMES ST/N 3RD ST,SAN JOSE,2025-07-30
544,A1389393,SAMMIE,DOG,BROWN,WHITE,CHIHUAHUA SH,NEUTERED,2023-07-20,2,2025-07-20,HEALTHY,STRAY,OTC,,2025-07-31,ADOPTION,,HEALTHY,E ST JAMES ST/N 3RD ST,SAN JOSE,2025-07-31
545,A1389396,CLEO,KITTEN,CALICO-TRI,,DOMESTIC LH,SPAYED,2025-06-27,0,2025-07-20,HEALTHY,STRAY,MEDVET,,2025-08-23,ADOPTION,,HEALTHY,LORRAINE AVE,SAN JOSE,2025-08-23
546,A1389398,TOFU,KITTEN,CALICO-TRI,,DOMESTIC SH,SPAYED,2025-06-27,0,2025-07-20,HEALTHY,STRAY,MEDVET,,2025-08-23,ADOPTION,,HEALTHY,LORRAINE AVE,SAN JOSE,2025-08-23
547,A1389400,LORRAINE,KITTEN,TORTIE-B\O,,DOMESTIC SH,SPAYED,2025-06-27,0,2025-07-20,HEALTHY,STRAY,MEDVET,,2025-08-22,ADOPTION,,HEALTHY,LORRAINE AVE,SAN JOSE,2025-08-22
548,A1389407,SAGE,KITTEN,TABBY-GRAY,,DOMESTIC SH,SPAYED,2025-05-13,0,2025-07-20,MED M,STRAY,FIELD,,2025-08-26,ADOPTION,,HEALTHY,BLK 1700 SAGELAND DR,SAN JOSE,2025-08-26
549,A1389408,CHLOE,KITTEN,TABBY-GRAY,,DOMESTIC MH,SPAYED,2025-05-13,0,2025-07-20,MED M,STRAY,FIELD,,2025-08-25,ADOPTION,,HEALTHY,BLK 1700 SAGELAND DR,SAN JOSE,2025-08-25
550,A1389409,DIESEL,DOG,GRAY,WHITE,PIT BULL,NEUTERED,2025-01-03,0,2025-07-20,BEH U,STRAY,FIELD,,2025-10-18,ADOPTION,,BEH U,LEWIS DR AND AIELLO DR,SAN JOSE,2025-10-18
551,A1389410,,CAT,BLACK,,DOMESTIC SH,MALE,2023-07-20,2,2025-07-19,MED SEV,STRAY,MEDVET,,2025-07-19,EUTH,,MED SEV,MEADOW PINE PL,SAN JOSE,2025-07-20
552,A1389411,,CAT,CREAM,,DOMESTIC SH,MALE,2023-07-20,2,2025-07-19,MED SEV,STRAY,MEDVET,,2025-07-19,EUTH,,MED SEV,MEADOW PINE PL,SAN JOSE,2025-07-20
553,A1389413,,CAT,TABBY-BRN,,DOMESTIC LH,NEUTERED,,,2025-07-20,MED R,STRAY,OTC,,2025-07-24,RTF,,FERAL,EVERDALE DR/MEYER CIR,SAN JOSE,2025-07-25
554,A1389415,,OTHER,BLACK,,DUCK,MALE,,,2025-07-20,MED R,STRAY,OTC,,2025-07-24,TRANSFER,,MED R,COLEMAN RD/WINFIELD BLVD,SAN JOSE,2025-07-24
555,A1389417,BLANCO,DOG,WHITE,BROWN,PIT BULL,MALE,2021-07-20,4,2025-07-20,HEALTHY,STRAY,OTC,,2025-07-21,RTO,,HEALTHY,BERRYESSA RD,SAN JOSE,2025-07-21
556,A1389419,JIMENA,DOG,TAN,,BORDER TERRIER,SPAYED,2022-07-20,3,2025-07-20,HEALTHY,STRAY,OTC,,2025-07-26,ADOPTION,,HEALTHY,SOUTHSIDE DR X KISSELL CT,SAN JOSE,2025-07-26
557,A1389420,FAWN,DOG,BROWN,WHITE,NORFOLK TERRIER,SPAYED,2024-02-20,1,2025-07-20,HEALTHY,OWNER SUR,OTC,,2025-07-27,ADOPTION,,HEALTHY,,SAN JOSE,2025-08-17
558,A1389425,KANGA,DOG,WHITE,,PIT BULL,FEMALE,2024-07-20,1,2025-07-20,MED R,STRAY,FIELD,,2025-07-31,EUTH,,BEH U,IRONWOOD X NIGHTENGALE,SAN JOSE,2025-07-31
559,A1389426,COBY,DOG,BLACK,BROWN,CHIHUAHUA SH,NEUTERED,2023-07-30,2,2025-07-20,MED SEV,STRAY,FIELD,,2025-07-30,ADOPTION,,MED SEV,LOMA VERDE/ PAYNE,SAN JOSE,2025-07-30
560,A1389443,,CAT,GRAY,WHITE,DOMESTIC SH,SPAYED,,,2025-07-21,FERAL,STRAY,OTC,,2025-07-24,RTF,,FERAL,WOODELF DR/LOUPE AVE,SAN JOSE,2025-07-24
561,A1389444,,CAT,TABBY-GRAY,WHITE,DOMESTIC SH,SPAYED,,,2025-07-21,PREGNANT,STRAY,OTC,,2025-07-24,RTF,,FERAL,WOODELF DR/LOUPE AVE,SAN JOSE,2025-07-24
562,A1389447,NELSON,OTHER,WHITE,BROWN,GUINEA PIG,MALE,,,2025-07-21,HEALTHY,STRAY,OTC,,2025-11-03,ADOPTION,,HEALTHY,SEVEN TREES BLVD/SAN MATEO DR,SAN JOSE,2025-11-03
563,A1389448,KINLEY,DOG,BROWN,WHITE,BASENJI,SPAYED,2022-07-21,3,2025-07-21,HEALTHY,STRAY,FIELD,,2026-03-10,ADOPTION,,MED M,AMES AVE / S MILPITAS BLVD,MILPITAS,2026-03-13
564,A1389454,PEARL,KITTEN,CALICO-DIL,,DOMESTIC SH,SPAYED,2025-05-14,0,2025-07-21,HEALTHY,STRAY,OTC,,2025-07-31,TRANSFER,,HEALTHY,EZIE ST/EL CAJON DR,SAN JOSE,2025-07-31
565,A1389456,,OTHER,BROWN,,CHICKEN,MALE,,,2025-07-21,HEALTHY,STRAY,OTC,,2025-07-24,TRANSFER,,HEALTHY,BLOSSOM HILL RD/ DARTMOUTH DR,SAN JOSE,2025-07-24
566,A1389457,MOMO,KITTEN,BLACK,WHITE,DOMESTIC SH,SPAYED,2025-05-06,0,2025-07-21,MED R,STRAY,OTC,,2025-08-24,ADOPTION,,MED R,SENTER RD/HAITI RD,SAN JOSE,2025-08-24
567,A1389463,KING ARTHUR,DOG,CREAM,TAN,DACHSHUND WH,MALE,2024-07-21,1,2025-07-21,MED M,STRAY,FIELD,,2025-07-29,RESCUE,,MED M,WASHINGTON X 17TH,SAN JOSE,2025-07-31
568,A1389465,CLEOPATRA,DOG,GOLD,WHITE,CHIHUAHUA SH,SPAYED,2024-07-21,1,2025-07-21,BEH M,STRAY,FIELD,,2025-08-06,ADOPTION,,HEALTHY,WASHINGTON X 17TH,SAN JOSE,2025-08-14
569,A1389466,RANDY,DOG,BLACK,,PIT BULL,NEUTERED,2025-02-21,0,2025-07-21,HEALTHY,STRAY,OTC,,2025-08-03,ADOPTION,,HEALTHY,MONTEREY RD/BLANCHARD RD,SAN JOSE,2025-08-03
570,A1389467,REESE,DOG,BLACK,,PIT BULL,NEUTERED,2025-02-21,0,2025-07-21,HEALTHY,STRAY,OTC,,2025-08-06,ADOPTION,,HEALTHY,MONTEREY HWY/ BLANCHARD RD,SAN JOSE,2025-08-06
571,A1389468,OZZY,KITTEN,BLACK,WHITE,DOMESTIC SH,NEUTERED,2025-07-13,0,2025-07-21,NURSING,STRAY,OTC,,2025-10-12,ADOPTION,,HEALTHY,7TH ST/COMMERCIAL ST,SAN JOSE,2025-10-12
572,A1389472,CHACORTA,DOG,GRAY,WHITE,SHIH TZU,MALE,2023-07-23,2,2025-07-21,MED R,STRAY,OTC,,2025-07-23,RTO,,MED R,SHERMAN OAKS DR/FRUITDALE DR,SAN JOSE,2025-09-26
573,A1389475,,KITTEN,BLACK,,DOMESTIC SH,MALE,2025-06-01,0,2025-07-21,MED R,STRAY,OTC,,2025-07-31,TRANSFER,,MED R,TREEWOOD LN/CAPEWOOD LN,SAN JOSE,2025-07-31
574,A1389476,,KITTEN,GRAY,,DOMESTIC SH,MALE,2025-06-01,0,2025-07-21,MED R,STRAY,OTC,,2025-07-31,TRANSFER,,MED R,TREEWOOD LN/CAPEWOOD LN,SAN JOSE,2025-07-31
575,A1389477,GORDA,DOG,WHITE,,MALTESE,SPAYED,2020-07-23,5,2025-07-21,HEALTHY,STRAY,OTC,,2025-07-25,ADOPTION,,HEALTHY,TULLY RD/SENTER RD,SAN JOSE,2025-07-25
576,A1389480,TEO,DOG,WHITE,,PUG,NEUTERED,2023-07-23,2,2025-07-22,HEALTHY,STRAY,OTC,,2025-08-07,ADOPTION,,HEALTHY,MCLAUGHLIN AVE/SUMMERSIDE DR,SAN JOSE,2025-08-07
577,A1389481,,KITTEN,TORTIE-B\O,,DOMESTIC SH,FEMALE,2025-07-21,0,2025-07-22,NURSING,STRAY,MEDVET,,2025-07-28,EUTH,,MED SEV,CALVERT DR,SAN JOSE,2025-07-28
578,A1389482,,KITTEN,BLACK,,DOMESTIC SH,MALE,2025-07-21,0,2025-07-22,NURSING,STRAY,MEDVET,,2025-07-30,EUTH,,MED SEV,CALVERT DR,SAN JOSE,2025-08-13
579,A1389514,BRICE,DOG,WHITE,ORANGE,BORDER COLLIE,MALE,2024-09-22,1,2025-07-22,HEALTHY,STRAY,OTC,,2025-08-04,TRANSFER,,HEALTHY,KENNEDY X CARDOZA PARK,SAN JOSE,2025-08-04
580,A1389515,ROGER,DOG,BLACK,ORANGE,BORDER COLLIE,MALE,2024-09-22,1,2025-07-22,HEALTHY,STRAY,OTC,,2025-08-04,TRANSFER,,HEALTHY,KENNEDY X CARDOZA PARK,SAN JOSE,2025-08-05
581,A1389516,BRUNO,DOG,BLACK,WHITE,BORDER COLLIE,NEUTERED,2024-03-22,1,2025-07-22,HEALTHY,STRAY,OTC,,2025-08-21,ADOPTION,,HEALTHY,KENNEDY X CARDOZA PARK,SAN JOSE,2025-08-21
582,A1389517,GHOST,DOG,WHITE,BLACK,BORDER COLLIE,NEUTERED,2024-12-22,1,2025-07-22,HEALTHY,STRAY,OTC,,2025-07-30,ADOPTION,,HEALTHY,KENNEDY X CARDOZA PARK,SAN JOSE,2025-07-31
583,A1389522,RIVER BABY,DOG,BRINDLE-BN,WHITE,PIT BULL,SPAYED,2019-07-22,6,2025-07-22,HEALTHY,CONFISCATE,HOSPITAL,,2025-07-23,RTO,,HEALTHY,,,2025-07-23
584,A1389523,MIKEY WIZMEOWSKI,KITTEN,BLACK,,DOMESTIC SH,NEUTERED,2025-06-07,0,2025-07-22,MED R,STRAY,OTC,,2026-02-04,ADOPTION,,HEALTHY,ROSSMORE CT/ROSSMOORE WAY,SAN JOSE,2026-02-04
585,A1389524,LEELA,KITTEN,TORTIE-B\O,,DOMESTIC SH,SPAYED,2025-06-07,0,2025-07-22,MED R,STRAY,OTC,,2026-02-04,ADOPTION,,HEALTHY,ROSSMORE CT/ROSSMOORE WAY,SAN JOSE,2026-02-04
586,A1389525,LISLE,OTHER,WHITE,BLACK,RABBIT SH,SPAYED,2020-07-22,5,2025-07-22,MED R,STRAY,OTC,,2025-08-28,RESCUE,,MED R,WESTMONT AVE/KINGSTON WAY,SAN JOSE,2025-08-28
587,A1389527,SNOOPY,DOG,WHITE,,BICHON FRISE,MALE,2024-07-22,1,2025-07-22,HEALTHY,STRAY,OTC,,2025-07-29,RTO,,HEALTHY,SENTER RD/NEEDLES DR,SAN JOSE,2025-07-29
588,A1389530,TOBY,DOG,TAN,,DACHSHUND,NEUTERED,2018-07-22,7,2025-07-22,HEALTHY,STRAY,OTC,,2025-07-29,ADOPTION,,HEALTHY,BLOSSOM HILL X LEAN,SAN JOSE,2025-07-30
589,A1389538,ROCKY,DOG,BROWN,,GERM SHEPHERD,NEUTERED,2024-08-22,1,2025-07-23,MED R,STRAY,FIELD,,2025-07-29,RTO,,MED R,THE WOODS,SAN JOSE,2025-07-29
590,A1389538,ROCKY,DOG,BROWN,,GERM SHEPHERD,NEUTERED,2024-08-22,1,2025-07-29,MED R,OWNER SUR,OTC,,2025-10-15,ADOPTION,,HEALTHY,,SAN JOSE,2025-10-15
591,A1389553,VELVET,CAT,BLACK,,DOMESTIC SH,NEUTERED,2024-02-01,1,2025-07-23,HEALTHY,OWNER SUR,OTC,,2025-08-09,ADOPTION,,HEALTHY,,SAN JOSE,2025-08-09
592,A1389592,,CAT,BLACK,,DOMESTIC SH,NEUTERED,2024-07-23,1,2025-07-23,MED R,STRAY,FIELD,,2025-07-27,RTF,,MED R,800 BLOCK OF CAPE TOWN PL,SAN JOSE,2025-07-27
593,A1389598,CHERRY COLA,KITTEN,BLACK,,DOMESTIC SH,NEUTERED,2025-05-23,0,2025-07-23,MED R,STRAY,FIELD,,2025-08-31,ADOPTION,,MED R,600 BLOCK OF SOUTH 2ND ST,SAN JOSE,2025-08-31
594,A1389603,ASPEN,DOG,GOLD,WHITE,GOLDEN RETR,FEMALE,2022-07-23,3,2025-07-23,HEALTHY,STRAY,OTC,,2025-07-23,RTO,,,TRADE ZONE X LUNDY,SAN JOSE,2025-07-23
595,A1389604,NALA,DOG,BRINDLE-BN,WHITE,PIT BULL,FEMALE,2015-07-23,10,2025-07-23,MED M,CONFISCATE,ASO,,2025-07-24,RTO,,MED M,,SAN JOSE,2025-07-24
596,A1389605,SUNNY,DOG,TAN,,LABRADOR RETR,SPAYED,2024-07-23,1,2025-07-23,HEALTHY,STRAY,OTC,,2025-08-23,ADOPTION,,HEALTHY,5TH ST/ 6TH ST,SAN JOSE,2025-08-23
597,A1389610,VADER,KITTEN,BLACK,,DOMESTIC SH,NEUTERED,2025-05-30,0,2025-07-23,FERAL,STRAY,OTC,,2025-08-13,ADOPTION,,HEALTHY,MARIST CT X,SAN JOSE,2025-08-13
598,A1389611,,KITTEN,TABBY-BRN,,DOMESTIC LH,NEUTERED,2025-05-30,0,2025-07-23,FERAL,STRAY,OTC,,2025-08-06,ADOPTION,,HEALTHY,MARIST CT X,SAN JOSE,2025-08-14
599,A1389612,JUPITER,KITTEN,TABBY-GRAY,,DOMESTIC SH,NEUTERED,2025-05-30,0,2025-07-23,FERAL,STRAY,OTC,,2025-08-09,ADOPTION,,HEALTHY,MARIST CT X,SAN JOSE,2025-08-09
600,A1389615,LEO,DOG,WHITE,TAN,NORFOLK TERRIER,NEUTERED,,,2025-07-23,HEALTHY,STRAY,OTC,,2025-07-28,ADOPTION,,HEALTHY,E ALMA AVE X MONTEREY RD,SAN JOSE,2025-07-28
601,A1389616,CAPRICORN,KITTEN,BLACK,,DOMESTIC SH,NEUTERED,2025-05-06,0,2025-07-23,HEALTHY,STRAY,OTC,,2025-07-31,TRANSFER,,HEALTHY,SALMON DR X ARCTIC AVE,SAN JOSE,2025-07-31
602,A1389617,WHISKEY,DOG,BROWN,TAN,NORFOLK TERRIER,SPAYED,2025-01-30,0,2025-07-23,HEALTHY,STRAY,OTC,,2025-07-29,ADOPTION,,HEALTHY,E ALMA AVE X MONTEREY RD,SAN JOSE,2025-12-01
603,A1389618,SAGGITARIUS,KITTEN,BLACK,,DOMESTIC SH,NEUTERED,2025-05-06,0,2025-07-23,HEALTHY,STRAY,OTC,,2025-07-31,TRANSFER,,HEALTHY,SALMON DR X ARCTIC AVE,SAN JOSE,2025-07-31
604,A1389619,RUBY,KITTEN,TORTIE-B\O,,DOMESTIC SH,SPAYED,2025-05-06,0,2025-07-23,HEALTHY,STRAY,OTC,,2025-07-31,TRANSFER,,HEALTHY,SALMON DR X ARCTIC AVE,SAN JOSE,2025-07-31
605,A1389620,DIAMOND,KITTEN,TORTIE-B\O,,DOMESTIC SH,SPAYED,2025-05-06,0,2025-07-23,HEALTHY,STRAY,OTC,,2025-07-31,TRANSFER,,HEALTHY,SALMON DR X ARCTIC AVE,SAN JOSE,2025-07-31
606,A1389623,CANELA,DOG,BROWN,TAN,CHIHUAHUA SH,FEMALE,2021-10-31,4,2025-07-23,HEALTHY,STRAY,OTC,,2025-07-24,RTO,,HEALTHY,ROUNDTABLE DR X CARRYBACK AVE,SAN JOSE,2025-07-24
607,A1389623,CANELA,DOG,BROWN,TAN,CHIHUAHUA SH,FEMALE,2021-10-31,4,2025-10-31,HEALTHY,STRAY,FIELD,,2025-11-04,RTO,,HEALTHY,EDENVIEW DR/GREY GHOST AVE,SAN JOSE,2025-11-04
608,A1389625,LUNA,DOG,BLACK,WHITE,CHIHUAHUA SH,SPAYED,2024-07-23,1,2025-07-23,BEH R,STRAY,OTC,,2025-07-31,ADOPTION,,BEH R,NIGHTINGGALE DR/IRONWOOD DR,SAN JOSE,2025-07-31
609,A1389627,TOPAZ,KITTEN,TABBY-ORG,,DOMESTIC SH,NEUTERED,2025-06-12,0,2025-07-23,HEALTHY,STRAY,OTC,,2025-07-31,TRANSFER,,HEALTHY,LEWIS RD X SUNWOOD DR,SAN JOSE,2025-07-31
610,A1389638,,CAT,BLACK,WHITE,DOMESTIC SH,UNKNOWN,2024-09-16,1,2025-07-23,MED EMERG,STRAY,FIELD,,2025-07-27,EUTH,,MED SEV,PALACIO ESPADA X EL RANCHO VERDE,SAN JOSE,2025-07-27
611,A1389639,,CAT,PT-SEAL,,DOMESTIC SH,UNKNOWN,2025-01-23,0,2025-07-23,MED SEV,STRAY,FIELD,,2025-07-24,EUTH,,MED SEV,N 13TH X TAYLOR,SAN JOSE,2025-07-28
612,A1389648,TRAP 8,KITTEN,TORBI-DIL,,DOMESTIC MH,SPAYED,2025-05-02,0,2025-07-24,MED R,STRAY,OTC,,2025-08-05,RTF,,MED R,N KING RD X MABURY RD,,2025-08-06
613,A1389685,AMDROMEDA,DOG,WHITE,BLACK,FRENCH BULLDOG,SPAYED,2023-07-27,2,2025-07-24,HEALTHY,STRAY,OTC,,2025-07-31,ADOPTION,,HEALTHY,WALNUT BLOSSOM DR/BLOSSOM HILL RD,SAN JOSE,2025-07-31
614,A1389688,CHRONOS,DOG,TAN,,FRENCH BULLDOG,NEUTERED,2023-07-27,2,2025-07-24,HEALTHY,STRAY,OTC,,2025-08-02,ADOPTION,,HEALTHY,WALNUT BLOSSOM DR/BLOSSOM HILL RD,SAN JOSE,2025-08-02
615,A1389689,NACHO,DOG,GRAY,,FRENCH BULLDOG,NEUTERED,2023-07-27,2,2025-07-24,HEALTHY,STRAY,OTC,,2025-07-31,ADOPTION,,HEALTHY,WALNUT BLOSSOM DR/BLOSSOM HILL RD,SAN JOSE,2025-07-31
616,A1389693,COCO,DOG,WHITE,YELLOW,POMERANIAN,MALE,,,2025-07-24,BEH U,CONFISCATE,ASO,,2025-07-27,RTO,,BEH U,,SAN JOSE,2025-07-27
617,A1389698,BONKERS,KITTEN,GRAY,,DOMESTIC SH,NEUTERED,2025-06-13,0,2025-07-24,MED R,STRAY,OTC,,2025-09-25,ADOPTION,,MED M,PRUDENCE WAY/S KING RD,SAN JOSE,2025-09-25
618,A1389699,MEOW MEOW ARREDONDO,KITTEN,GRAY,,DOMESTIC SH,NEUTERED,2025-07-03,0,2025-07-24,NURSING,STRAY,OTC,,2025-08-28,ADOPTION,,HEALTHY,HILLSBOROUGH WAY/MILLBRAE LN,SAN JOSE,2025-08-28
619,A1389705,,KITTEN,TABBY-BRN,,DOMESTIC MH,NEUTERED,2025-06-02,0,2025-07-24,MED R,STRAY,OTC,,2025-08-01,ADOPTION,,MED R,I-880 S/B BROKAW RD,SAN JOSE,2025-08-01
620,A1389710,,DOG,WHITE,TAN,PAPILLON,FEMALE,2024-07-30,1,2025-07-24,MED R,STRAY,OTC,,2025-07-31,TRANSFER,,MED R,ROCK SPRINGS DR X NEEDLES,SAN JOSE,2025-07-31
621,A1389715,,DOG,BLACK,WHITE,SIBERIAN HUSKY,NEUTERED,,,2025-07-24,HEALTHY,TRANSFER,OTHER AGEN,,2025-07-30,RESCUE,,HEALTHY,ALTIA AVE/YERBA BUENA RD,SAN JOSE,2025-07-30
622,A1389717,,KITTEN,BLACK,,DOMESTIC SH,FEMALE,2025-07-22,0,2025-07-24,MED SEV,STRAY,OTC,,2025-07-24,EUTH,,MED SEV,SAN CARLOS/ AUZERAIS,SAN JOSE,2025-07-24
623,A1389719,,CAT,TABBY-ORG,,DOMESTIC SH,MALE,,,2025-07-24,NURSING,STRAY,OTC,,2025-08-14,RESCUE,,NURSING,CAPITOL/ TULLY RD,SAN JOSE,2025-08-14
624,A1389720,,CAT,WHITE,,DOMESTIC SH,NEUTERED,2023-07-30,2,2025-07-24,HEALTHY,STRAY,OTC,IP ADOPT,2025-08-01,ADOPTION,,HEALTHY,SANTA TERESA X BERNAL,SAN JOSE,2025-08-01
625,A1389722,,CAT,CALICO-TRI,,DOMESTIC SH,FEMALE,,,2025-07-24,NURSING,STRAY,OTC,,2025-08-14,RESCUE,,NURSING,CAPITOL/ TULLY RD,SAN JOSE,2025-08-14
626,A1389723,,CAT,CALICO-DIL,,DOMESTIC SH,FEMALE,,,2025-07-24,NURSING,STRAY,OTC,,2025-08-14,RESCUE,,NURSING,CAPITOL/ TULLY RD,SAN JOSE,2025-08-14
627,A1389724,,CAT,TABBY-ORG,,DOMESTIC SH,MALE,,,2025-07-24,NURSING,STRAY,OTC,,2025-08-14,RESCUE,,NURSING,CAPITOL/ TULLY RD,SAN JOSE,2025-08-14
628,A1389725,MEENA,CAT,GRAY,,DOMESTIC MH,SPAYED,2024-08-01,1,2025-07-24,HEALTHY,OWNER SUR,OTC,,2025-08-03,ADOPTION,,HEALTHY,,SAN JOSE,2025-08-03
629,A1389727,,DOG,WHITE,BLACK,PIT BULL,MALE,,,2025-07-24,BEH U,STRAY,OTC,,2025-07-29,REQ EUTH,,BEH U,MONTEREY RD X FALTERSACK ALLEY,SAN JOSE,2025-07-29
630,A1389730,,KITTEN,TABBY-GRAY,,DOMESTIC SH,SPAYED,2025-04-24,0,2025-07-24,HEALTHY,STRAY,OTC,,2025-07-31,TRANSFER,,HEALTHY,UMBARGER RD X AIELLO DR,SAN JOSE,2025-07-31
631,A1389732,NACHO,KITTEN,TABBY-GRAY,,DOMESTIC SH,SPAYED,2025-04-18,0,2025-07-24,MED R,STRAY,OTC,,2025-07-31,ADOPTION,,HEALTHY,PEARL/ HILLSDALE AVE,SAN JOSE,2025-07-31
632,A1389733,,KITTEN,TABBY-GRAY,,DOMESTIC SH,SPAYED,2025-04-24,0,2025-07-24,HEALTHY,STRAY,OTC,,2025-07-31,TRANSFER,,HEALTHY,UMBARGER RD X AIELLO DR,SAN JOSE,2025-07-31
633,A1389734,,KITTEN,TABBY-BRN,,DOMESTIC SH,NEUTERED,2025-04-24,0,2025-07-24,HEALTHY,STRAY,OTC,,2025-07-31,TRANSFER,,HEALTHY,UMBARGER RD X AIELLO DR,SAN JOSE,2025-07-31
634,A1389737,MEEKO,DOG,WHITE,BLACK,POMERANIAN,NEUTERED,2019-07-24,6,2025-07-24,HEALTHY,STRAY,OTC,,2025-07-28,ADOPTION,,HEALTHY,QUIMBY/ CAPITOL,SAN JOSE,2025-07-28
635,A1389744,CHULA,DOG,BROWN,WHITE,PIT BULL,SPAYED,2023-09-15,2,2025-07-24,BEH M,STRAY,FIELD,,2025-07-29,RTO,,BEH M,PALM RD / GRANT RD,SAN JOSE,2025-07-29
636,A1389744,CHULA,DOG,BROWN,WHITE,PIT BULL,SPAYED,2023-09-15,2,2025-09-11,HEALTHY,STRAY,FIELD,,2025-09-17,RTO,,HEALTHY,GRANT ST/PALM ST,SAN JOSE,2025-09-17
637,A1389746,HONEY,DOG,WHITE,BROWN,BORDER COLLIE,SPAYED,2024-01-30,1,2025-09-19,BEH M,OWNER SUR,OTC,BITES,2025-10-01,EUTH,,BEH U,,OUT OF COUNTY,2025-10-01
638,A1389748,IZZY,DOG,WHITE,BLACK,CHIHUAHUA SH,SPAYED,2024-07-30,1,2025-07-25,HEALTHY,STRAY,OTC,,2025-08-01,ADOPTION,,HEALTHY,CAMDEN AVE/MCABEE RD,SAN JOSE,2025-08-01
639,A1389748,IZZY,DOG,WHITE,BLACK,CHIHUAHUA SH,SPAYED,2024-07-30,1,2025-08-08,HEALTHY,RETURN,OTC,,2025-08-08,ADOPTION,,HEALTHY,,SAN JOSE,2025-08-08
640,A1389749,,DOG,BLACK,BROWN,CAIRN TERRIER,MALE,2023-07-25,2,2025-07-25,HEALTHY,STRAY,OTC,,2025-08-04,TRANSFER,,HEALTHY,LEAN AVE/ VALE DR,SAN JOSE,2025-08-04
641,A1389754,,CAT,TORBI-BRN,,DOMESTIC LH,SPAYED,2024-09-25,1,2025-07-25,PREGNANT,STRAY,OTC,,2025-08-02,RTF,,FERAL,DUBERT LANE/CRUCERO DR,SAN JOSE,2025-08-02
642,A1389755,JASPER,KITTEN,TABBY-ORG,,DOMESTIC SH,NEUTERED,2025-06-06,0,2025-07-25,HEALTHY,STRAY,OTC,,2025-07-31,ADOPTION,,HEALTHY,DENNYWOOD CT/ WOODS WAY,SAN JOSE,2025-07-31
643,A1389761,TOM,KITTEN,TABBY-ORG,,DOMESTIC SH,MALE,2025-06-20,0,2025-07-25,MED R,STRAY,OTC,,2025-08-08,EUTH,,MED EMERG,EZIE ST/SANTA ROSA DR,SAN JOSE,2025-08-09
644,A1389769,PIRINOLA,KITTEN,TABBY-GRAY,,DOMESTIC SH,SPAYED,2025-05-25,0,2025-07-25,MED R,STRAY,OTC,IP ADOPT,2025-07-30,ADOPTION,,MED R,GLEN EYRIE AVE/LINCOLN RD,SAN JOSE,2025-07-30
645,A1389772,,CAT,TABBY-BRN,,DOMESTIC SH,FEMALE,2024-08-25,1,2025-07-25,HEALTHY,STRAY,OTC,,2025-08-10,TRANSFER,,HEALTHY,MELROSE AVE/WILSHIRE BLVD,SAN JOSE,2025-08-10
646,A1389774,,KITTEN,PT-LYNX,,DOMESTIC SH,FEMALE,2025-06-30,0,2025-07-25,NURSING,STRAY,OTC,,2025-08-10,TRANSFER,,NURSING,MELROSE AVE/WILSHIRE BLVD,SAN JOSE,2025-08-10
647,A1389775,,KITTEN,TABBY-BRN,WHITE,DOMESTIC SH,MALE,2025-06-30,0,2025-07-25,NURSING,STRAY,OTC,,2025-08-10,TRANSFER,,NURSING,MELROSE AVE/WILSHIRE BLVD,SAN JOSE,2025-08-10
648,A1389776,,KITTEN,TABBY-BRN,,DOMESTIC SH,FEMALE,2025-06-30,0,2025-07-25,NURSING,STRAY,OTC,,2025-08-10,TRANSFER,,NURSING,MELROSE AVE/WILSHIRE BLVD,SAN JOSE,2025-08-10
649,A1389777,,KITTEN,TABBY-BRN,,DOMESTIC SH,FEMALE,2025-06-30,0,2025-07-25,NURSING,STRAY,OTC,,2025-08-10,TRANSFER,,NURSING,MELROSE AVE/WILSHIRE BLVD,SAN JOSE,2025-08-10
